Date,High,Low,Open,Close,Volume,Adj Close
2011-11-18,174000.0,168000.0,168000.0,173500.0,185723.0,154807.046875
2011-11-21,175500.0,168500.0,174500.0,174500.0,151779.0,155699.3125
2011-11-22,175000.0,171000.0,172000.0,173000.0,123617.0,154360.9375
2011-11-23,173500.0,167000.0,173000.0,168000.0,100834.0,149899.625
2011-11-24,171000.0,162500.0,166500.0,169500.0,91730.0,151238.03125
2011-11-25,168500.0,157000.0,168000.0,160500.0,288139.0,143207.671875
2011-11-28,164500.0,160000.0,163500.0,162000.0,161635.0,144546.046875
2011-11-29,168000.0,163000.0,165000.0,165500.0,274578.0,147669.0
2011-11-30,178000.0,162000.0,166000.0,178000.0,4318186.0,158822.21875
2011-12-01,196000.0,183000.0,187000.0,191000.0,1055145.0,170421.625
2011-12-02,191500.0,181000.0,183500.0,189000.0,600127.0,168637.0625
2011-12-05,192500.0,176500.0,191500.0,178500.0,634279.0,159268.359375
2011-12-06,181500.0,174000.0,178500.0,178000.0,363228.0,158822.21875
2011-12-07,182500.0,178000.0,181500.0,182000.0,228206.0,162391.28125
2011-12-08,182000.0,178000.0,181500.0,178000.0,144825.0,158822.21875
2011-12-09,182000.0,171000.0,175000.0,179000.0,182316.0,159714.484375
2011-12-12,190500.0,184500.0,186000.0,187500.0,319715.0,167298.671875
2011-12-13,185500.0,180000.0,184500.0,181500.0,206378.0,161945.125
2011-12-14,181500.0,172000.0,180000.0,174000.0,407678.0,155253.203125
2011-12-15,169500.0,165500.0,168000.0,167000.0,270723.0,149007.375
2011-12-16,172000.0,162000.0,168500.0,168500.0,245643.0,150345.78125
2011-12-19,167000.0,153500.0,166500.0,159000.0,313226.0,141869.296875
2011-12-20,168000.0,157000.0,159000.0,164000.0,228284.0,146330.59375
2011-12-21,172500.0,168000.0,170000.0,170500.0,171616.0,152130.265625
2011-12-22,171500.0,168000.0,170500.0,168500.0,85902.0,150345.78125
2011-12-23,175500.0,170500.0,170500.0,175000.0,175817.0,156145.4375
2011-12-26,177500.0,171000.0,176500.0,171000.0,90702.0,152576.390625
2011-12-27,172000.0,162500.0,171000.0,167000.0,157337.0,149007.375
2011-12-28,171000.0,165000.0,165500.0,168000.0,72207.0,151716.609375
2011-12-29,170000.0,166000.0,166500.0,167500.0,80629.0,151265.078125
2012-01-02,169000.0,163000.0,167000.0,165000.0,69820.0,149007.375
2012-01-03,171000.0,166000.0,167000.0,169000.0,139315.0,152619.671875
2012-01-04,172000.0,165500.0,170500.0,165500.0,128652.0,149458.90625
2012-01-05,167000.0,158500.0,165500.0,165500.0,216774.0,149458.90625
2012-01-06,165000.0,159000.0,165000.0,164500.0,170835.0,148555.84375
2012-01-09,164000.0,160500.0,162000.0,160500.0,87110.0,144943.53125
2012-01-10,163000.0,159500.0,160500.0,160500.0,138060.0,144943.53125
2012-01-11,162000.0,148500.0,161000.0,149000.0,601917.0,134558.171875
2012-01-12,152000.0,145500.0,150000.0,150000.0,317480.0,135461.265625
2012-01-13,152000.0,148500.0,150500.0,148500.0,186206.0,134106.65625
2012-01-16,146500.0,139000.0,145000.0,143500.0,455059.0,129591.2578125
2012-01-17,153000.0,144500.0,144500.0,151000.0,427388.0,136364.328125
2012-01-18,159000.0,149500.0,151000.0,158000.0,460714.0,142685.859375
2012-01-19,160000.0,154000.0,159500.0,155000.0,262783.0,139976.625
2012-01-20,165000.0,156500.0,157500.0,164500.0,399162.0,148555.84375
2012-01-25,169000.0,160000.0,165000.0,161000.0,283539.0,145395.0625
2012-01-26,166500.0,161500.0,163500.0,165000.0,198933.0,149007.375
2012-01-27,168500.0,164500.0,165000.0,167500.0,147472.0,151265.078125
2012-01-30,168500.0,164000.0,165500.0,167000.0,145933.0,150813.53125
2012-01-31,171500.0,163500.0,167000.0,168000.0,199991.0,151716.609375
2012-02-01,173000.0,166500.0,166500.0,173000.0,231999.0,156231.96875
2012-02-02,183000.0,176500.0,177000.0,179000.0,368037.0,161650.4375
2012-02-03,182500.0,177000.0,179500.0,181500.0,147129.0,163908.09375
2012-02-06,185500.0,175500.0,185000.0,177500.0,193307.0,160295.8125
2012-02-07,180500.0,170500.0,176000.0,174500.0,245904.0,157586.578125
2012-02-08,179000.0,172000.0,174500.0,178500.0,208043.0,161198.859375
2012-02-09,178500.0,172500.0,177500.0,178000.0,261561.0,160747.34375
2012-02-10,182000.0,170500.0,177500.0,170500.0,253515.0,153974.296875
2012-02-13,177000.0,166500.0,171500.0,174000.0,407422.0,157135.046875
2012-02-14,179000.0,173500.0,177500.0,173500.0,280530.0,156683.5
2012-02-15,176000.0,172000.0,174500.0,175500.0,179011.0,158489.65625
2012-02-16,174500.0,166000.0,173000.0,169500.0,292135.0,153071.234375
2012-02-17,173500.0,167000.0,172000.0,170500.0,361305.0,153974.296875
2012-02-20,177000.0,171500.0,175000.0,174000.0,292588.0,157135.046875
2012-02-21,174500.0,171000.0,174000.0,174500.0,138921.0,157586.578125
2012-02-22,172500.0,165000.0,171500.0,167000.0,437681.0,150813.53125
2012-02-23,165500.0,161000.0,165000.0,162500.0,295726.0,146749.671875
2012-02-24,165000.0,160000.0,161000.0,163000.0,182772.0,147201.234375
2012-02-27,162500.0,152500.0,162000.0,153500.0,283611.0,138622.015625
2012-02-28,159500.0,154000.0,154000.0,159500.0,184672.0,144040.46875
2012-02-29,163000.0,156500.0,161000.0,156500.0,355062.0,141331.25
2012-03-02,163500.0,159000.0,160000.0,163000.0,178008.0,147201.234375
2012-03-05,167500.0,162500.0,165000.0,163000.0,265883.0,147201.234375
2012-03-06,164500.0,157000.0,163500.0,161000.0,122292.0,145395.0625
2012-03-07,159000.0,154500.0,156500.0,155000.0,237397.0,139976.625
2012-03-08,159500.0,156000.0,156000.0,159500.0,151860.0,144040.46875
2012-03-09,161500.0,155000.0,161500.0,156500.0,219904.0,141331.25
2012-03-12,156000.0,150500.0,156000.0,151500.0,190406.0,136815.859375
2012-03-13,155000.0,151500.0,153000.0,153500.0,151036.0,138622.015625
2012-03-14,157000.0,153000.0,156500.0,153000.0,112343.0,138170.46875
2012-03-15,158000.0,152000.0,153000.0,153000.0,212105.0,138170.46875
2012-03-16,158000.0,153500.0,153500.0,154000.0,321608.0,139073.546875
2012-03-19,156500.0,153000.0,156000.0,154000.0,82761.0,139073.546875
2012-03-20,155000.0,147000.0,153000.0,149000.0,360830.0,134558.171875
2012-03-21,150500.0,146000.0,148000.0,150000.0,194959.0,135461.265625
2012-03-22,149500.0,142500.0,149000.0,144000.0,311300.0,130042.8203125
2012-03-23,147500.0,141500.0,141500.0,147000.0,180156.0,132752.03125
2012-03-26,148000.0,141000.0,147500.0,141500.0,182180.0,127785.109375
2012-03-27,145000.0,140000.0,143500.0,143000.0,146637.0,129139.71875
2012-03-28,143500.0,140000.0,142500.0,140000.0,131211.0,126430.5
2012-03-29,141500.0,135500.0,138500.0,140000.0,211295.0,126430.5
2012-03-30,143500.0,138000.0,138000.0,142000.0,188749.0,128236.6328125
2012-04-02,144000.0,141500.0,144000.0,141500.0,81797.0,127785.109375
2012-04-03,143000.0,139000.0,142500.0,140000.0,170606.0,126430.5
2012-04-04,140000.0,133500.0,140000.0,133500.0,207812.0,120560.5078125
2012-04-05,133500.0,129000.0,132000.0,131000.0,191587.0,118302.8125
2012-04-06,136000.0,130500.0,130500.0,136000.0,156461.0,122818.1953125
2012-04-09,141000.0,134500.0,135000.0,137500.0,212365.0,124172.8125
2012-04-10,142000.0,137500.0,137500.0,140000.0,174999.0,126430.5
2012-04-12,142000.0,139000.0,142000.0,141500.0,115888.0,127785.109375
2012-04-13,143500.0,134000.0,143000.0,137000.0,490776.0,123721.265625
2012-04-16,135000.0,131500.0,134000.0,131500.0,550645.0,118754.359375
2012-04-17,133500.0,128000.0,133500.0,129500.0,289655.0,116948.2109375
2012-04-18,132500.0,128500.0,131500.0,130500.0,253049.0,117851.2890625
2012-04-19,130500.0,126000.0,129000.0,127500.0,202487.0,115142.0625
2012-04-20,125500.0,117500.0,125000.0,118500.0,442435.0,107014.3828125
2012-04-23,121500.0,117500.0,118500.0,117500.0,249053.0,106111.3046875
2012-04-24,118000.0,114000.0,115500.0,115500.0,226968.0,104305.1640625
2012-04-25,120500.0,115000.0,117500.0,115000.0,255559.0,103853.6171875
2012-04-26,119500.0,114000.0,118000.0,117500.0,351177.0,106111.3046875
2012-04-27,119500.0,112000.0,118500.0,112500.0,407373.0,101595.9296875
2012-04-30,113500.0,102000.0,113500.0,106500.0,865571.0,96177.484375
2012-05-02,115000.0,107500.0,108000.0,114500.0,597997.0,103402.078125
2012-05-03,116500.0,113000.0,115000.0,114000.0,294771.0,102950.546875
2012-05-04,122500.0,113000.0,114500.0,122500.0,549536.0,110626.6796875
2012-05-07,124500.0,116500.0,121000.0,117000.0,495316.0,105659.765625
2012-05-08,122500.0,119500.0,121000.0,121000.0,205420.0,109272.078125
2012-05-09,120500.0,113000.0,119000.0,114500.0,299384.0,103402.078125
2012-05-10,115500.0,107500.0,112500.0,113500.0,624950.0,102499.0078125
2012-05-11,114000.0,108000.0,113000.0,108000.0,313835.0,97532.09375
2012-05-14,111500.0,105000.0,110000.0,109000.0,386166.0,98435.171875
2012-05-15,110500.0,103000.0,106000.0,110500.0,385974.0,99789.7890625
2012-05-16,114500.0,108000.0,109000.0,110000.0,446305.0,99338.2578125
2012-05-17,116000.0,109000.0,112500.0,115000.0,504660.0,103853.6171875
2012-05-18,118000.0,111000.0,112500.0,115500.0,526456.0,104305.1640625
2012-05-21,119000.0,112500.0,118000.0,117000.0,376111.0,105659.765625
2012-05-22,119000.0,116000.0,119000.0,116000.0,305190.0,104756.6953125
2012-05-23,115500.0,108500.0,115000.0,109000.0,423241.0,98435.171875
2012-05-24,110000.0,105500.0,108000.0,106000.0,414289.0,95725.9453125
2012-05-25,110500.0,107000.0,107500.0,109000.0,262238.0,98435.171875
2012-05-29,117500.0,109000.0,110000.0,117000.0,349753.0,105659.765625
2012-05-30,116500.0,113500.0,116500.0,115000.0,311525.0,103853.6171875
2012-05-31,117500.0,111000.0,112000.0,117500.0,237692.0,106111.3046875
2012-06-01,116500.0,112500.0,116000.0,112500.0,198187.0,101595.9296875
2012-06-04,108500.0,103000.0,107000.0,104500.0,409589.0,94371.328125
2012-06-05,107000.0,104000.0,106000.0,106000.0,222796.0,95725.9453125
2012-06-07,112000.0,108500.0,112000.0,108500.0,234227.0,97983.640625
2012-06-08,113000.0,108500.0,112000.0,108500.0,247992.0,97983.640625
2012-06-11,116500.0,111000.0,112000.0,116500.0,385601.0,105208.2421875
2012-06-12,118500.0,112000.0,113000.0,117500.0,343269.0,106111.3046875
2012-06-13,119000.0,114000.0,119000.0,114500.0,232659.0,103402.078125
2012-06-14,118000.0,113000.0,113500.0,118000.0,300630.0,106562.859375
2012-06-15,122000.0,116500.0,118000.0,121000.0,358372.0,109272.078125
2012-06-18,125000.0,121000.0,125000.0,122000.0,334334.0,110175.140625
2012-06-19,122500.0,118500.0,119500.0,119000.0,221359.0,107465.921875
2012-06-20,122000.0,119500.0,121000.0,121000.0,166360.0,109272.078125
2012-06-21,120500.0,115500.0,119000.0,117000.0,236207.0,105659.765625
2012-06-22,116000.0,112500.0,113500.0,113500.0,262542.0,102499.0078125
2012-06-25,117000.0,112000.0,113500.0,116000.0,222899.0,104756.6953125
2012-06-26,119000.0,115000.0,115500.0,118000.0,202496.0,106562.859375
2012-06-27,119000.0,115500.0,118000.0,117000.0,170131.0,105659.765625
2012-06-28,119000.0,116500.0,118500.0,117000.0,121306.0,105659.765625
2012-06-29,120000.0,114500.0,115500.0,120000.0,208066.0,108369.0
2012-07-02,126000.0,122000.0,122500.0,124000.0,450297.0,111981.28125
2012-07-03,129500.0,124500.0,125000.0,129500.0,389765.0,116948.2109375
2012-07-04,132000.0,127500.0,130000.0,127500.0,427205.0,115142.0625
2012-07-05,134000.0,127500.0,127500.0,133000.0,313475.0,120108.96875
2012-07-06,133000.0,127500.0,133000.0,133000.0,361592.0,120108.96875
2012-07-09,132500.0,127500.0,131000.0,127500.0,215312.0,115142.0625
2012-07-10,129000.0,124500.0,127500.0,126000.0,207886.0,113787.453125
2012-07-11,131000.0,124000.0,125000.0,130500.0,239623.0,117851.2890625
2012-07-12,131500.0,127500.0,130000.0,127500.0,240940.0,115142.0625
2012-07-13,130500.0,123000.0,128500.0,129500.0,271284.0,116948.2109375
2012-07-16,133000.0,129500.0,132000.0,130000.0,148248.0,117399.75
2012-07-17,133000.0,127000.0,128500.0,132000.0,249823.0,119205.890625
2012-07-18,132500.0,125500.0,131500.0,125500.0,327181.0,113335.90625
2012-07-19,127000.0,120000.0,126000.0,123000.0,564266.0,111078.2265625
2012-07-20,127500.0,122500.0,124500.0,127000.0,209778.0,114690.5234375
2012-07-23,125500.0,121000.0,125000.0,122500.0,192041.0,110626.6796875
2012-07-24,122500.0,115000.0,120500.0,118500.0,293426.0,107014.3828125
2012-07-25,120500.0,113500.0,114500.0,116500.0,215641.0,105208.2421875
2012-07-26,120000.0,115500.0,118500.0,119000.0,152666.0,107465.921875
2012-07-27,123000.0,120000.0,122000.0,121000.0,142805.0,109272.078125
2012-07-30,124000.0,120500.0,122000.0,121000.0,126034.0,109272.078125
2012-07-31,125000.0,119500.0,121000.0,123500.0,225640.0,111529.765625
2012-08-01,125000.0,122000.0,123000.0,123000.0,97791.0,111078.2265625
2012-08-02,127000.0,122500.0,123000.0,124500.0,158839.0,112432.8359375
2012-08-03,124500.0,121500.0,122000.0,123500.0,115681.0,111529.765625
2012-08-06,129000.0,126000.0,127000.0,128500.0,200505.0,116045.1328125
2012-08-07,130000.0,126000.0,129000.0,126000.0,135511.0,113787.453125
2012-08-08,129000.0,124500.0,127500.0,124500.0,236681.0,112432.8359375
2012-08-09,129000.0,124500.0,124500.0,128000.0,261106.0,115593.6015625
2012-08-10,128500.0,125000.0,128000.0,127000.0,180584.0,114690.5234375
2012-08-13,128000.0,122000.0,127000.0,122500.0,239666.0,110626.6796875
2012-08-14,124500.0,121000.0,123500.0,123000.0,250552.0,111078.2265625
2012-08-16,125000.0,121500.0,123000.0,123000.0,178780.0,111078.2265625
2012-08-17,125500.0,123000.0,124500.0,125000.0,260956.0,112884.3828125
2012-08-20,126000.0,122500.0,125500.0,123000.0,178510.0,111078.2265625
2012-08-21,126500.0,123500.0,124500.0,125000.0,238928.0,112884.3828125
2012-08-22,125500.0,121000.0,124000.0,122000.0,267304.0,110175.140625
2012-08-23,123000.0,119000.0,121000.0,120000.0,251430.0,108369.0
2012-08-24,119500.0,115500.0,119000.0,117000.0,259115.0,105659.765625
2012-08-27,119000.0,117000.0,117500.0,118500.0,107843.0,107014.3828125
2012-08-28,118500.0,114500.0,118000.0,116000.0,265319.0,104756.6953125
2012-08-29,116500.0,114000.0,116500.0,115000.0,156012.0,103853.6171875
2012-08-30,114500.0,111000.0,114500.0,111500.0,270682.0,100692.8671875
2012-08-31,113000.0,110000.0,110000.0,112500.0,131235.0,101595.9296875
2012-09-03,115000.0,111000.0,113500.0,114000.0,118588.0,102950.546875
2012-09-04,115000.0,112500.0,114000.0,113000.0,95650.0,102047.4609375
2012-09-05,113000.0,108500.0,112500.0,108500.0,265565.0,97983.640625
2012-09-06,111000.0,108500.0,109000.0,109500.0,103924.0,98886.703125
2012-09-07,116000.0,112500.0,113000.0,115500.0,236500.0,104305.1640625
2012-09-10,115500.0,113000.0,115500.0,113000.0,99259.0,102047.4609375
2012-09-11,113000.0,111500.0,112000.0,112000.0,69357.0,101144.3984375
2012-09-12,115000.0,113000.0,113000.0,114500.0,96436.0,103402.078125
2012-09-13,114500.0,112500.0,114500.0,114500.0,82630.0,103402.078125
2012-09-14,119500.0,116500.0,118500.0,119500.0,308782.0,107917.46875
2012-09-17,125000.0,119000.0,119500.0,125000.0,529127.0,112884.3828125
2012-09-18,129000.0,124000.0,124500.0,128000.0,408709.0,115593.6015625
2012-09-19,129500.0,125500.0,127500.0,129000.0,314361.0,116496.6796875
2012-09-20,129000.0,123000.0,127500.0,123000.0,247092.0,111078.2265625
2012-09-21,126500.0,122500.0,125000.0,125500.0,201130.0,113335.90625
2012-09-24,126500.0,123500.0,125500.0,124000.0,188086.0,111981.28125
2012-09-25,128500.0,123500.0,124000.0,126000.0,228094.0,113787.453125
2012-09-26,125000.0,121500.0,124500.0,123000.0,190894.0,111078.2265625
2012-09-27,126500.0,120500.0,122000.0,126000.0,206547.0,113787.453125
2012-09-28,127000.0,123000.0,127000.0,123500.0,181598.0,111529.765625
2012-10-02,126000.0,123500.0,125000.0,124000.0,126999.0,111981.28125
2012-10-04,125000.0,122000.0,124000.0,123000.0,130636.0,111078.2265625
2012-10-05,125000.0,121000.0,124000.0,121500.0,111615.0,109723.609375
2012-10-08,122000.0,116000.0,121500.0,116500.0,257054.0,105208.2421875
2012-10-09,118000.0,115000.0,115500.0,116000.0,130895.0,104756.6953125
2012-10-10,116000.0,113500.0,116000.0,113500.0,115866.0,102499.0078125
2012-10-11,116000.0,112500.0,112500.0,116000.0,105690.0,104756.6953125
2012-10-12,117000.0,113500.0,115500.0,117000.0,127586.0,105659.765625
2012-10-15,120000.0,114500.0,116000.0,118500.0,198417.0,107014.3828125
2012-10-16,120500.0,117000.0,119500.0,117500.0,91586.0,106111.3046875
2012-10-17,121000.0,118000.0,118500.0,119500.0,170329.0,107917.46875
2012-10-18,120500.0,118500.0,120000.0,118500.0,100676.0,107014.3828125
2012-10-19,120500.0,117500.0,119000.0,120000.0,94467.0,108369.0
2012-10-22,117500.0,115000.0,117000.0,116500.0,153863.0,105208.2421875
2012-10-23,116000.0,112000.0,115000.0,112000.0,199529.0,101144.3984375
2012-10-24,110000.0,106500.0,109500.0,108000.0,280854.0,97532.09375
2012-10-25,108500.0,104500.0,107000.0,108000.0,171154.0,97532.09375
2012-10-26,108000.0,104000.0,106500.0,104000.0,138608.0,93919.8046875
2012-10-29,106000.0,103500.0,104500.0,105000.0,154257.0,94822.8671875
2012-10-30,107000.0,105000.0,105500.0,106500.0,58094.0,96177.484375
2012-10-31,110000.0,107000.0,107500.0,107000.0,94965.0,96629.0234375
2012-11-01,107500.0,104000.0,106500.0,104500.0,92711.0,94371.328125
2012-11-02,111500.0,106000.0,107000.0,110500.0,183231.0,99789.7890625
2012-11-05,112000.0,109000.0,110000.0,110500.0,91271.0,99789.7890625
2012-11-06,114000.0,109500.0,110000.0,113000.0,101317.0,102047.4609375
2012-11-07,116000.0,113500.0,115000.0,115000.0,128655.0,103853.6171875
2012-11-08,114500.0,111000.0,111500.0,114500.0,143798.0,103402.078125
2012-11-09,116500.0,112000.0,112500.0,114500.0,136521.0,103402.078125
2012-11-12,114500.0,109000.0,114500.0,109000.0,146847.0,98435.171875
2012-11-13,110000.0,104500.0,109000.0,106000.0,166278.0,95725.9453125
2012-11-14,106500.0,99100.0,106000.0,100500.0,570529.0,90759.046875
2012-11-15,98800.0,95600.0,96900.0,96800.0,373924.0,87417.6484375
2012-11-16,100500.0,95600.0,95600.0,97600.0,206918.0,88140.1171875
2012-11-19,102500.0,98700.0,98700.0,100500.0,172214.0,90759.046875
2012-11-20,104500.0,102500.0,103500.0,102500.0,174980.0,92565.1796875
2012-11-21,103500.0,99100.0,103000.0,100500.0,172570.0,90759.046875
2012-11-22,102500.0,100500.0,102000.0,101000.0,73799.0,91210.5703125
2012-11-23,102000.0,98500.0,101000.0,100500.0,91770.0,90759.046875
2012-11-26,102000.0,99100.0,102000.0,99100.0,153158.0,89494.7265625
2012-11-27,107000.0,99800.0,100000.0,107000.0,327135.0,96629.0234375
2012-11-28,109000.0,105500.0,106000.0,107000.0,181003.0,96629.0234375
2012-11-29,115500.0,109000.0,109500.0,112500.0,488316.0,101595.9296875
2012-11-30,116000.0,111000.0,113000.0,112000.0,246716.0,101144.3984375
2012-12-03,114000.0,110500.0,112500.0,112000.0,114896.0,101144.3984375
2012-12-04,115000.0,110000.0,111000.0,113500.0,199575.0,102499.0078125
2012-12-05,117000.0,111500.0,113000.0,116000.0,289608.0,104756.6953125
2012-12-06,122000.0,116000.0,117000.0,119500.0,408727.0,107917.46875
2012-12-07,122000.0,117500.0,120000.0,119500.0,221306.0,107917.46875
2012-12-10,121000.0,116000.0,120000.0,117500.0,182308.0,106111.3046875
2012-12-11,126500.0,119000.0,119000.0,126000.0,505838.0,113787.453125
2012-12-12,127500.0,122500.0,127000.0,126000.0,299072.0,113787.453125
2012-12-13,128000.0,124000.0,125000.0,126000.0,196307.0,113787.453125
2012-12-14,126500.0,121500.0,126000.0,126000.0,304845.0,113787.453125
2012-12-17,126500.0,122500.0,126000.0,122500.0,199658.0,110626.6796875
2012-12-18,128000.0,124000.0,124500.0,126500.0,280310.0,114238.9765625
2012-12-20,130000.0,127000.0,127500.0,127500.0,233314.0,115142.0625
2012-12-21,129000.0,123500.0,129000.0,125500.0,236907.0,113335.90625
2012-12-24,125000.0,123000.0,124500.0,124500.0,92597.0,112432.8359375
2012-12-26,128000.0,124500.0,124500.0,124500.0,113217.0,112432.8359375
2012-12-27,127000.0,124500.0,124500.0,126000.0,98438.0,115645.2109375
2012-12-28,130500.0,125000.0,125500.0,130500.0,278743.0,119775.3984375
2013-01-02,138500.0,131500.0,132000.0,138000.0,365024.0,126659.0234375
2013-01-03,140000.0,135500.0,139500.0,135500.0,221996.0,124364.4765625
2013-01-04,136500.0,130000.0,135500.0,132000.0,303436.0,121152.1171875
2013-01-07,131000.0,127500.0,130000.0,130000.0,245565.0,119316.484375
2013-01-08,131500.0,129000.0,129000.0,129500.0,169570.0,118857.5703125
2013-01-09,130500.0,126000.0,129500.0,126500.0,215899.0,116104.109375
2013-01-10,133500.0,124000.0,127000.0,133000.0,351799.0,122069.9296875
2013-01-11,134500.0,129000.0,133000.0,130000.0,211002.0,119316.484375
2013-01-14,129000.0,122000.0,128500.0,124000.0,416674.0,113809.5625
2013-01-15,127500.0,120500.0,124000.0,122000.0,276998.0,111973.921875
2013-01-16,124000.0,121000.0,122500.0,121500.0,149114.0,111515.015625
2013-01-17,126000.0,122000.0,123000.0,125000.0,206895.0,114727.390625
2013-01-18,127500.0,123000.0,127500.0,125000.0,150137.0,114727.390625
2013-01-21,125000.0,120500.0,125000.0,121000.0,247950.0,111056.1171875
2013-01-22,122000.0,118000.0,121500.0,121500.0,162769.0,111515.015625
2013-01-23,123000.0,119000.0,121500.0,119000.0,145274.0,109220.4765625
2013-01-24,123500.0,118500.0,118500.0,122000.0,236046.0,111973.921875
2013-01-25,125000.0,121000.0,123000.0,123000.0,150179.0,112891.7421875
2013-01-28,124500.0,122000.0,123500.0,123000.0,92575.0,112891.7421875
2013-01-29,125000.0,122500.0,123000.0,123500.0,101543.0,113350.6640625
2013-01-30,124000.0,120000.0,124000.0,121500.0,174050.0,111515.015625
2013-01-31,122500.0,119000.0,120500.0,119000.0,147433.0,109220.4765625
2013-02-01,121000.0,118000.0,119000.0,121000.0,100408.0,111056.1171875
2013-02-04,123000.0,120000.0,122500.0,121500.0,98629.0,111515.015625
2013-02-05,120500.0,119000.0,119500.0,120000.0,77298.0,110138.2890625
2013-02-06,121500.0,115000.0,120500.0,115500.0,219134.0,106008.109375
2013-02-07,117000.0,113500.0,115000.0,115000.0,137074.0,105549.1875
2013-02-08,117000.0,114000.0,115000.0,116500.0,126201.0,106925.9296875
2013-02-12,117500.0,115000.0,117000.0,116000.0,71837.0,106467.015625
2013-02-13,119000.0,116000.0,116000.0,118500.0,112923.0,108761.5546875
2013-02-14,123500.0,117500.0,118000.0,122000.0,232913.0,111973.921875
2013-02-15,123000.0,119000.0,123000.0,121000.0,150671.0,111056.1171875
2013-02-18,122500.0,119500.0,120500.0,122000.0,127633.0,111973.921875
2013-02-19,122000.0,118500.0,122000.0,119500.0,184016.0,109679.3828125
2013-02-20,121500.0,119500.0,120000.0,121000.0,210066.0,111056.1171875
2013-02-21,120000.0,117500.0,120000.0,117500.0,209392.0,107843.7421875
2013-02-22,119500.0,116500.0,117000.0,119500.0,125694.0,109679.3828125
2013-02-25,119500.0,117000.0,119500.0,118000.0,154614.0,108302.6640625
2013-02-26,115500.0,108500.0,115000.0,109500.0,688809.0,100501.1875
2013-02-27,110500.0,105000.0,109500.0,109500.0,327005.0,100501.1875
2013-02-28,111000.0,108000.0,111000.0,109500.0,150466.0,100501.1875
2013-03-04,109000.0,105500.0,108500.0,106500.0,204484.0,97747.734375
2013-03-05,108000.0,106500.0,107000.0,107000.0,114415.0,98206.640625
2013-03-06,109500.0,108000.0,108500.0,108500.0,130159.0,99583.375
2013-03-07,108500.0,105000.0,108500.0,106500.0,146881.0,97747.734375
2013-03-08,108000.0,105500.0,106500.0,107500.0,114568.0,98665.5546875
2013-03-11,107500.0,104000.0,107000.0,105000.0,182186.0,96371.0
2013-03-12,106000.0,103500.0,104000.0,104000.0,164055.0,95453.1953125
2013-03-13,104500.0,101000.0,104000.0,102500.0,213046.0,94076.4609375
2013-03-14,104000.0,102000.0,102000.0,103000.0,99524.0,94535.3671875
2013-03-15,104500.0,102000.0,104000.0,102000.0,123047.0,93617.546875
2013-03-18,101500.0,99800.0,100500.0,101000.0,179248.0,92699.7265625
2013-03-19,102000.0,100500.0,101000.0,101000.0,71426.0,92699.7265625
2013-03-20,102500.0,99200.0,100000.0,100000.0,159248.0,91781.90625
2013-03-21,107000.0,102000.0,102500.0,106500.0,457560.0,97747.734375
2013-03-22,109000.0,105000.0,106000.0,106000.0,238066.0,97288.8203125
2013-03-25,108000.0,103500.0,107500.0,105500.0,164699.0,96829.9140625
2013-03-26,105500.0,103000.0,104500.0,105500.0,139480.0,96829.9140625
2013-03-27,109500.0,105000.0,106500.0,107500.0,223549.0,98665.5546875
2013-03-28,108000.0,105500.0,108000.0,106000.0,90706.0,97288.8203125
2013-03-29,110000.0,105000.0,107000.0,105500.0,182815.0,96829.9140625
2013-04-01,107500.0,104500.0,106000.0,106000.0,105578.0,97288.8203125
2013-04-02,106500.0,101500.0,106000.0,103000.0,211850.0,94535.3671875
2013-04-03,103500.0,100500.0,103500.0,103000.0,192997.0,94535.3671875
2013-04-04,102000.0,99700.0,102000.0,100500.0,175962.0,92240.8203125
2013-04-05,102000.0,99600.0,100500.0,100000.0,136513.0,91781.90625
2013-04-08,102500.0,99900.0,100000.0,100500.0,127136.0,92240.8203125
2013-04-09,104500.0,100500.0,100500.0,102000.0,203470.0,93617.546875
2013-04-10,104000.0,101500.0,103500.0,103000.0,145184.0,94535.3671875
2013-04-11,105000.0,99800.0,105000.0,102000.0,225868.0,93617.546875
2013-04-12,102000.0,92200.0,101500.0,93600.0,658647.0,85907.875
2013-04-15,95800.0,90500.0,93000.0,94000.0,213124.0,86274.9921875
2013-04-16,92800.0,88500.0,91300.0,90900.0,353860.0,83429.7578125
2013-04-17,92400.0,85500.0,91000.0,88500.0,417639.0,81226.9765625
2013-04-18,89900.0,86100.0,86700.0,87400.0,227764.0,80217.390625
2013-04-19,89800.0,87200.0,88500.0,89800.0,164753.0,82420.15625
2013-04-22,90000.0,88400.0,89500.0,88900.0,124253.0,81594.1171875
2013-04-23,89300.0,87800.0,88900.0,89200.0,124762.0,81869.4609375
2013-04-24,92800.0,89600.0,90200.0,91700.0,174754.0,84164.0078125
2013-04-25,94600.0,92100.0,92500.0,93700.0,155595.0,85999.6484375
2013-04-26,94700.0,93300.0,93700.0,93300.0,96461.0,85632.5234375
2013-04-29,94000.0,90600.0,92900.0,92500.0,121633.0,84898.2734375
2013-04-30,96300.0,93400.0,93700.0,95300.0,193673.0,87468.1484375
2013-05-02,95200.0,92700.0,94300.0,93500.0,113693.0,85816.0859375
2013-05-03,95300.0,93900.0,94500.0,95000.0,89749.0,87192.8125
2013-05-06,99400.0,96000.0,96000.0,97200.0,170752.0,89212.015625
